,City,ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tasiilaq,3424607,33,GL,1571595306,67,65.61,-37.64,32.0,4.7
1,Sechura,3691954,53,PE,1571595307,93,-5.56,-80.82,61.87,17.02
2,Rikitea,4030556,86,PF,1571595308,71,-23.12,-134.97,69.21,15.95
3,Atuona,4020109,0,PF,1571595310,68,-9.8,-139.03,79.33,16.82
4,Kurchum,1521762,100,KZ,1571595310,96,48.57,83.65,35.52,16.51
5,Nanortalik,3421765,46,GL,1571595311,88,60.14,-45.24,43.2,4.29
6,Saint-Philippe,935215,0,RE,1571595312,64,-21.36,55.77,71.6,3.36
7,Castro,3896218,90,CL,1571595314,87,-42.48,-73.76,48.2,23.04
8,Vaini,4032243,40,TO,1571595315,94,-21.2,-175.2,73.4,5.82
9,Albany,2077963,90,AU,1571595320,93,-35.02,117.88,55.4,6.93
10,Ushuaia,3833367,75,AR,1571594884,32,-54.81,-68.31,55.4,28.86
11,Hilo,5855927,90,US,1571595322,74,19.71,-155.08,78.8,3.36
12,Kenai,5866063,20,US,1571595323,93,60.55,-151.26,39.99,9.17
13,Antsohihy,1068971,3,MG,1571595324,69,-14.88,47.99,79.83,5.1
14,Katsuura,1865309,75,JP,1571595326,77,33.93,134.5,64.4,5.82
15,Aklavik,5882953,90,CA,1571595327,92,68.22,-135.01,19.4,4.7
16,Lakes Entrance,2160735,24,AU,1571595328,92,-37.88,147.99,43.0,9.06
17,Caravelas,3466980,93,BR,1571595329,74,-17.73,-39.27,78.59,13.87
18,Qaanaaq,3831208,0,GL,1571595330,54,77.48,-69.36,2.05,9.08
19,Cape Town,3369157,75,ZA,1571595331,77,-33.93,18.42,62.01,12.75
20,Zaykovo,1485323,38,RU,1571595333,80,57.56,62.76,26.25,9.69
21,Ribeira Grande,3372707,40,PT,1571595334,56,38.52,-28.7,69.8,12.75
22,Isangel,2136825,83,VU,1571595335,83,-19.55,169.27,75.53,13.09
23,Dingle,2964782,75,IE,1571595336,71,52.14,-10.27,50.0,4.7
24,Nikolskoye,546105,100,RU,1571595337,87,59.7,30.79,48.99,4.47
25,Jamestown,3370903,0,SH,1571595338,87,-15.94,-5.72,67.63,15.3
26,Hobart,2163355,76,AU,1571595339,57,-42.88,147.33,52.0,10.29
